mass JMRUp JMRDown

Wprime_WZ_lvjj_M800 -4.790 2.701
Wprime_WZ_lvjj_M900 -4.790 2.701
Wprime_WZ_lvjj_M1000 -4.637 2.003
Wprime_WZ_lvjj_M1100 -4.637 2.003
Wprime_WZ_lvjj_M1200 -3.161 4.203
Wprime_WZ_lvjj_M1300 -3.161 4.203
Wprime_WZ_lvjj_M1400 -1.984 4.281
Wprime_WZ_lvjj_M1500 -1.984 4.281
Wprime_WZ_lvjj_M1600 -2.214 2.445
Wprime_WZ_lvjj_M1700 -2.214 2.445
Wprime_WZ_lvjj_M1800 -2.811 1.795
Wprime_WZ_lvjj_M1900 -2.811 1.795
Wprime_WZ_lvjj_M2000 -2.499 1.671
Wprime_WZ_lvjj_M2100 -2.499 1.671
Wprime_WZ_lvjj_M2200 -2.499 1.671
Wprime_WZ_lvjj_M2300 -2.499 1.671
Wprime_WZ_lvjj_M2400 -2.499 1.671
Wprime_WZ_lvjj_M2500 -1.778 2.240
Wprime_WZ_lvjj_M2600 -1.778 2.240
Wprime_WZ_lvjj_M2700 -1.778 2.240
Wprime_WZ_lvjj_M2800 -1.778 2.240
Wprime_WZ_lvjj_M2900 -1.778 2.240
Wprime_WZ_lvjj_M3000 -2.833 1.969
Wprime_WZ_lvjj_M3100 -2.833 1.969
Wprime_WZ_lvjj_M3200 -2.833 1.969
Wprime_WZ_lvjj_M3300 -2.833 1.969
Wprime_WZ_lvjj_M3400 -2.833 1.969
Wprime_WZ_lvjj_M3500 -0.892 2.173
Wprime_WZ_lvjj_M3600 -0.892 2.173
Wprime_WZ_lvjj_M3700 -0.892 2.173
Wprime_WZ_lvjj_M3800 -0.892 2.173
Wprime_WZ_lvjj_M3900 -0.892 2.173
Wprime_WZ_lvjj_M4000 -2.923 2.415
Wprime_WZ_lvjj_M4100 -2.923 2.415
Wprime_WZ_lvjj_M4200 -2.923 2.415
Wprime_WZ_lvjj_M4300 -2.923 2.415
Wprime_WZ_lvjj_M4400 -2.923 2.415
Wprime_WZ_lvjj_M4500 -1.384 1.973
BulkG_WW_lvjj_M800 -0.982 0.626
BulkG_WW_lvjj_M900 -0.982 0.626
BulkG_WW_lvjj_M1000 -0.982 0.626
BulkG_WW_lvjj_M1100 -0.982 0.626
BulkG_WW_lvjj_M1200 -0.815 0.839
BulkG_WW_lvjj_M1300 -0.815 0.839
BulkG_WW_lvjj_M1400 -1.000 0.587
BulkG_WW_lvjj_M1500 -1.000 0.587
BulkG_WW_lvjj_M1600 -0.875 0.590
BulkG_WW_lvjj_M1700 -0.875 0.590
BulkG_WW_lvjj_M1800 -1.104 1.011
BulkG_WW_lvjj_M1900 -1.104 1.011
BulkG_WW_lvjj_M2000 -0.960 0.572
BulkG_WW_lvjj_M2100 -0.960 0.572
BulkG_WW_lvjj_M2200 -0.960 0.572
BulkG_WW_lvjj_M2300 -0.960 0.572
BulkG_WW_lvjj_M2400 -0.960 0.572
BulkG_WW_lvjj_M2500 -0.578 0.520
BulkG_WW_lvjj_M2600 -0.578 0.520
BulkG_WW_lvjj_M2700 -0.578 0.520
BulkG_WW_lvjj_M2800 -0.578 0.520
BulkG_WW_lvjj_M2900 -0.578 0.520
BulkG_WW_lvjj_M3000 -0.631 1.027
BulkG_WW_lvjj_M3100 -0.631 1.027
BulkG_WW_lvjj_M3200 -0.631 1.027
BulkG_WW_lvjj_M3300 -0.631 1.027
BulkG_WW_lvjj_M3400 -0.631 1.027
BulkG_WW_lvjj_M3500 -1.171 0.830
BulkG_WW_lvjj_M3500 -1.171 0.830
BulkG_WW_lvjj_M3600 -1.171 0.830
BulkG_WW_lvjj_M3700 -1.171 0.830
BulkG_WW_lvjj_M3900 -1.171 0.830
BulkG_WW_lvjj_M4000 -0.657 0.765
BulkG_WW_lvjj_M4100 -0.657 0.765
BulkG_WW_lvjj_M4200 -0.657 0.765
BulkG_WW_lvjj_M4300 -0.657 0.765
BulkG_WW_lvjj_M4400 -0.657 0.765
BulkG_WW_lvjj_M4500 -1.271 0.811
