mass JMRUp JMRDown

Wprime_WZ_lvjj_M800 9.000 -4.000
Wprime_WZ_lvjj_M1000 1.000 1.000
Wprime_WZ_lvjj_M1200 1.000 4.000
Wprime_WZ_lvjj_M1400 0.000 0.000
Wprime_WZ_lvjj_M1600 -2.000 0.000
Wprime_WZ_lvjj_M1800 -1.000 0.000
Wprime_WZ_lvjj_M2000 0.000 1.000
Wprime_WZ_lvjj_M2500 1.000 0.000
Wprime_WZ_lvjj_M3000 4.000 3.000
Wprime_WZ_lvjj_M3500 -2.000 0.000
Wprime_WZ_lvjj_M4000 -1.000 0.000
Wprime_WZ_lvjj_M4500 0.000 0.000
BulkG_WW_lvjj_M800 0.000 5.000
BulkG_WW_lvjj_M1200 -2.000 -4.000
BulkG_WW_lvjj_M1400 -2.000 2.000
BulkG_WW_lvjj_M1600 0.000 2.000
BulkG_WW_lvjj_M1800 1.000 3.000
BulkG_WW_lvjj_M2000 -1.000 0.000
BulkG_WW_lvjj_M2500 -4.000 0.000
BulkG_WW_lvjj_M3000 -1.000 0.000
BulkG_WW_lvjj_M3500 1.000 1.000
BulkG_WW_lvjj_M4000 -2.000 1.000
BulkG_WW_lvjj_M4500 -1.000 0.000
