mass JMRUp JMRDown

Wprime_WZ_lvjj_M800 -4.790 2.701
Wprime_WZ_lvjj_M900 -4.790 2.701
Wprime_WZ_lvjj_M1000 -4.637 2.003
Wprime_WZ_lvjj_M1100 -4.637 2.003
Wprime_WZ_lvjj_M1200 -3.161 4.203
Wprime_WZ_lvjj_M1300 -3.161 4.203
Wprime_WZ_lvjj_M1400 -1.984 4.281
Wprime_WZ_lvjj_M1500 -1.984 4.281
Wprime_WZ_lvjj_M1600 -2.214 2.445
Wprime_WZ_lvjj_M1700 -2.214 2.445
Wprime_WZ_lvjj_M1800 -2.811 1.795
Wprime_WZ_lvjj_M1900 -2.811 1.795
Wprime_WZ_lvjj_M2000 -2.499 1.671
Wprime_WZ_lvjj_M2100 -2.499 1.671
Wprime_WZ_lvjj_M2200 -2.499 1.671
Wprime_WZ_lvjj_M2300 -2.499 1.671
Wprime_WZ_lvjj_M2400 -2.499 1.671
Wprime_WZ_lvjj_M2500 -1.778 2.240
Wprime_WZ_lvjj_M2600 -1.778 2.240
Wprime_WZ_lvjj_M2700 -1.778 2.240
Wprime_WZ_lvjj_M2800 -1.778 2.240
Wprime_WZ_lvjj_M2900 -1.778 2.240
Wprime_WZ_lvjj_M3000 -2.833 1.969
Wprime_WZ_lvjj_M3100 -2.833 1.969
Wprime_WZ_lvjj_M3200 -2.833 1.969
Wprime_WZ_lvjj_M3300 -2.833 1.969
Wprime_WZ_lvjj_M3400 -2.833 1.969
Wprime_WZ_lvjj_M3500 -0.892 2.173
Wprime_WZ_lvjj_M3600 -0.892 2.173
Wprime_WZ_lvjj_M3700 -0.892 2.173
Wprime_WZ_lvjj_M3800 -0.892 2.173
Wprime_WZ_lvjj_M3900 -0.892 2.173
Wprime_WZ_lvjj_M4000 -2.923 2.415
Wprime_WZ_lvjj_M4100 -2.923 2.415
Wprime_WZ_lvjj_M4200 -2.923 2.415
Wprime_WZ_lvjj_M4300 -2.923 2.415
Wprime_WZ_lvjj_M4400 -2.923 2.415
Wprime_WZ_lvjj_M4500 -1.384 1.973
BulkG_WW_lvjj_M800 0.331 -2.812
BulkG_WW_lvjj_M900 0.331 -2.812
BulkG_WW_lvjj_M1000 0.331 -2.812
BulkG_WW_lvjj_M1100 0.331 -2.812
BulkG_WW_lvjj_M1200 2.138 -6.333
BulkG_WW_lvjj_M1300 2.138 -6.333
BulkG_WW_lvjj_M1400 10.185 -5.047
BulkG_WW_lvjj_M1500 10.185 -5.047
BulkG_WW_lvjj_M1600 8.208 -7.075
BulkG_WW_lvjj_M1700 8.208 -7.075
BulkG_WW_lvjj_M1800 8.089 -8.241
BulkG_WW_lvjj_M1900 8.089 -8.241
BulkG_WW_lvjj_M2000 11.713 -8.022
BulkG_WW_lvjj_M2100 11.713 -8.022
BulkG_WW_lvjj_M2200 11.713 -8.022
BulkG_WW_lvjj_M2300 11.713 -8.022
BulkG_WW_lvjj_M2400 11.713 -8.022
BulkG_WW_lvjj_M2500 4.928 -8.756
BulkG_WW_lvjj_M2600 4.928 -8.756
BulkG_WW_lvjj_M2700 4.928 -8.756
BulkG_WW_lvjj_M2800 4.928 -8.756
BulkG_WW_lvjj_M2900 4.928 -8.756
BulkG_WW_lvjj_M3000 9.705 -6.077
BulkG_WW_lvjj_M3100 9.705 -6.077
BulkG_WW_lvjj_M3200 9.705 -6.077
BulkG_WW_lvjj_M3300 9.705 -6.077
BulkG_WW_lvjj_M3400 9.705 -6.077
BulkG_WW_lvjj_M3500 5.573 -7.723
BulkG_WW_lvjj_M3600 5.573 -7.723
BulkG_WW_lvjj_M3700 5.573 -7.723
BulkG_WW_lvjj_M3800 5.573 -7.723
BulkG_WW_lvjj_M3900 5.573 -7.723
BulkG_WW_lvjj_M4000 5.523 -4.645
BulkG_WW_lvjj_M4100 5.523 -4.645
BulkG_WW_lvjj_M4200 5.523 -4.645
BulkG_WW_lvjj_M4300 5.523 -4.645
BulkG_WW_lvjj_M4400 5.523 -4.645
BulkG_WW_lvjj_M4500 4.674 -5.074
