mass JMRUp JMRDown

Wprime_WZ_lvjj_M800 -3.311 3.963
Wprime_WZ_lvjj_M900 -3.311 3.963
Wprime_WZ_lvjj_M1000 -4.513 2.196
Wprime_WZ_lvjj_M1100 -4.513 2.196
Wprime_WZ_lvjj_M1200 -2.927 2.609
Wprime_WZ_lvjj_M1300 -2.927 2.609
Wprime_WZ_lvjj_M1400 -3.275 3.113
Wprime_WZ_lvjj_M1500 -3.275 3.113
Wprime_WZ_lvjj_M1600 -3.256 2.264
Wprime_WZ_lvjj_M1700 -3.256 2.264
Wprime_WZ_lvjj_M1800 -3.551 2.538
Wprime_WZ_lvjj_M1900 -3.551 2.538
Wprime_WZ_lvjj_M2000 -2.546 2.330
Wprime_WZ_lvjj_M2100 -2.546 2.330
Wprime_WZ_lvjj_M2200 -2.546 2.330
Wprime_WZ_lvjj_M2300 -2.546 2.330
Wprime_WZ_lvjj_M2400 -2.546 2.330
Wprime_WZ_lvjj_M2500 -2.745 1.890
Wprime_WZ_lvjj_M2600 -2.745 1.890
Wprime_WZ_lvjj_M2700 -2.745 1.890
Wprime_WZ_lvjj_M2800 -2.745 1.890
Wprime_WZ_lvjj_M2900 -2.745 1.890
Wprime_WZ_lvjj_M3000 -2.618 2.447
Wprime_WZ_lvjj_M3100 -2.618 2.447
Wprime_WZ_lvjj_M3200 -2.618 2.447
Wprime_WZ_lvjj_M3300 -2.618 2.447
Wprime_WZ_lvjj_M3400 -2.618 2.447
Wprime_WZ_lvjj_M3500 -0.837 3.174
Wprime_WZ_lvjj_M3600 -0.837 3.174
Wprime_WZ_lvjj_M3700 -0.837 3.174
Wprime_WZ_lvjj_M3800 -0.837 3.174
Wprime_WZ_lvjj_M3900 -0.837 3.174
Wprime_WZ_lvjj_M4000 -2.334 1.556
Wprime_WZ_lvjj_M4100 -2.334 1.556
Wprime_WZ_lvjj_M4200 -2.334 1.556
Wprime_WZ_lvjj_M4300 -2.334 1.556
Wprime_WZ_lvjj_M4400 -2.334 1.556
Wprime_WZ_lvjj_M4500 -1.317 1.681
BulkG_WW_lvjj_M800 -1.365 0.945
BulkG_WW_lvjj_M900 -1.365 0.945
BulkG_WW_lvjj_M1000 -1.365 0.945
BulkG_WW_lvjj_M1100 -1.365 0.945
BulkG_WW_lvjj_M1200 -1.502 0.480
BulkG_WW_lvjj_M1300 -1.502 0.480
BulkG_WW_lvjj_M1400 -1.066 0.866
BulkG_WW_lvjj_M1500 -1.066 0.866
BulkG_WW_lvjj_M1600 -1.229 0.511
BulkG_WW_lvjj_M1700 -1.229 0.511
BulkG_WW_lvjj_M1800 -1.262 0.728
BulkG_WW_lvjj_M1900 -1.262 0.728
BulkG_WW_lvjj_M2000 -1.011 0.348
BulkG_WW_lvjj_M2100 -1.011 0.348
BulkG_WW_lvjj_M2200 -1.011 0.348
BulkG_WW_lvjj_M2300 -1.011 0.348
BulkG_WW_lvjj_M2400 -1.011 0.348
BulkG_WW_lvjj_M2500 -0.847 0.622
BulkG_WW_lvjj_M2600 -0.847 0.622
BulkG_WW_lvjj_M2700 -0.847 0.622
BulkG_WW_lvjj_M2800 -0.847 0.622
BulkG_WW_lvjj_M2900 -0.847 0.622
BulkG_WW_lvjj_M3000 -0.764 0.601
BulkG_WW_lvjj_M3100 -0.764 0.601
BulkG_WW_lvjj_M3200 -0.764 0.601
BulkG_WW_lvjj_M3300 -0.764 0.601
BulkG_WW_lvjj_M3400 -0.764 0.601
BulkG_WW_lvjj_M3500 -0.607 1.003
BulkG_WW_lvjj_M3600 -0.607 1.003
BulkG_WW_lvjj_M3700 -0.607 1.003
BulkG_WW_lvjj_M3800 -0.607 1.003
BulkG_WW_lvjj_M3900 -0.607 1.003
BulkG_WW_lvjj_M4000 -0.607 0.806
BulkG_WW_lvjj_M4100 -0.607 0.806
BulkG_WW_lvjj_M4200 -0.607 0.806
BulkG_WW_lvjj_M4300 -0.607 0.806
BulkG_WW_lvjj_M4400 -0.607 0.806
BulkG_WW_lvjj_M4500 -0.870 0.680
